Order,Run.Num,Run.Date,Run.Plant,Flower number,Site,Site.Type,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha tirpenene,er.alpha tirpenolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexen 1 ol,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma tirpenene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.naphthalene,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown sesqui,er.veratrole,er.verbenone,N.compounds,
24,153,6-Dec,6,7,MHG,One,Cyl,7,0.00032415,0,0,0,0,0,0.000216439,0,0,0,0,0,0,0.000349705,0.001545079,0,0,0.000202391,1.93E-05,0,0,0,0,0,0,0,0,0.00647781,0,0,0,0.000439787,0.0018163,0,0,0,0,0,0.000256208,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90E-05,0,11,
25,154,6-Dec,7,10,MHG,One,Cyl,11,0.000576036,0,0,0,0,0,0,0,0,6.96E-05,0,0,7.89E-05,0.000637261,0.001065189,0,0,0.000218948,0,0,0,0,0,0,0,0,0,0,0,0,0.001161512,0.000389145,0.003765461,0,0,0,0,0,0.000272476,0,0,0,0,0,0,0,0,1.09E-05,0,0,0,0,0,0,11,
26,162,11-Dec,6,10,MHG,One,Cyl,9,0,0,0,0,0.001933913,0,0,0,0,0,1.02E-05,0,5.08E-05,0.000816344,0.002125648,1.91E-05,0.000383303,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,6.25E-05,0,0.000145309,0.008789462,0,0,0,0,0,0.000485502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
27,201,13-Jan,8,6,MHG,One,Cyl,21,0.000745223,0,0,0,0.001563419,0,0.00E+00,0,0,0,0,0,7.99E-05,0,0.002016056,0,0,0,9.18E-05,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.000342129,0.002693281,0.000131421,0,0,0,0,6.66E-05,0,0,0,0,0,0.001239057,0,0,0,0,0,0,0,0,0,10,
28,247,20-Jan,2,7,MHG,One,Cyl,25,0,0,0,0,0.00062928,0,0,0,0,0,9.58E-06,0,0,0,0.002572787,0,0.000655619,0.000175655,0,0,0.000127337,0,0,0,0,0.000716214,0,0,0.000130596,0,0,0.000474515,0.004259228,0.000316477,0,0,0,0.000867159,0.000329581,0,0,2.85E-05,0,0,0.000959542,0,0,0,0,0,0,0.000153453,0,0,16,
29,283,24-Jan,5,9,MHG,One,Cyl,29,0,0,0,0,0.001073279,0,0,0,0,2.17E-05,0,0,2.83E-05,0,0.001014084,0,0.000180494,0.00013362,0.000154227,0,0,0,0,0,0,0.000276172,0,0,0,0,0,0.000121489,0.003374626,0,0,0,0,0,0.000228081,0,0,0,0,0,0,0,0,6.51E-05,0,0,0,0,6.82E-05,0,13,
30,287,24-Jan,10,9,MHG,One,Cyl,30,0,0,0,0,0.002295569,0.000230117,0,0.00E+00,0,0,0,0,0,0,0.005764643,0,0.001655299,8.49E-05,6.35E-05,0,0,0,0,0.003300191,0,0.00E+00,0.000127783,0,0,4.82E-05,0,0.000634865,0.019259877,0,6.42E-05,0,0,0,0.001405534,0,0,0,0,0,0.000531196,0,0,0,0,0,0,0.00049673,0,0,15,13.53333333
31,31,14-Nov,19,9,SF,One,Cyl,5,0,0,0,0,0,0,0,8.00E-05,0,0,0,0,0.00E+00,0.000229528,0.00119202,0,0.000454393,0,9.88E-05,0,0,0,0,0.001050268,0,0.002550691,0,0,0,7.98E-05,5.28E-05,0,0.003549346,0,0,0,0,0,0.0003744,0,0,0,0,0,0,0.001703787,0.01478952,0,0,0,0,0,0.000130422,0,14,
32,102,20-Nov,14,7,SF,One,Cyl,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.000443026,0.000577318,0,0,0,0,2.02E-05,0,0,0,0.001614626,0,0.000353265,0,0,0,0,0.001761895,0,0.002531793,0,0,0,0,0,0.00E+00,0,0,0,0,0,0.00197503,0.001101109,0.007735743,0,0,0,0,0,0,0,10,
33,112,30-Nov,2,12,SF,One,Cyl,8,0.000507627,0,0,0,0,6.52E-05,0.000504609,0,0,0.000210997,0.00102435,0,0.00E+00,0.000222404,0.002531955,0,0.000655824,0.000185759,0.00463083,0,0,0,0,0,0,0.000215493,0,0.001782786,0,0.000112947,0,0,0.00587741,0.00162099,8.24E-05,0,0.00E+00,0,0.000673034,0,0,0,0,0,0,0,0.002984004,0,0,0,0,1.71E-05,0,0,19,
