Plant,Site,Species,N.fl.N,Mass.fl.N,N.fl.W,Mass.fl.W,Compound,Con.N,Con.N.mass,Con.N.time,Con.N.t.mass,Con.W,Con.W.mass,Con.W.time,Con.W.t.mass,Difference
GRCO Ung 2,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexenyl acetate,0.007379375,0.405865625,0.067644271,0.09204805,0.004419875,0.243093125,0.040515521,0.055132159,-0.036915891
GRCO Ung 6,GRCO,Ung,7,0.85736,7,0.85736,cis 3 hexenyl acetate,0.001712875,0.094208125,0.015701354,0.018313607,0.040486875,2.226778125,0.371129688,0.432874975,0.414561368
GRCO Ung 7,GRCO,Ung,7,0.85736,8,0.97984,cis 3 hexenyl acetate,0.003502375,0.192630625,0.032105104,0.037446468,0.005202875,0.286158125,0.047693021,0.048674295,0.011227826
GRCO Ung 9,GRCO,Ung,9,1.10232,8,0.97984,cis 3 hexenyl acetate,0.004421875,0.243203125,0.040533854,0.036771404,0.005536375,0.304500625,0.050750104,0.051794277,0.015022873
MCK Cyl 1,MCK,Cyl,7,0.709835,10,1.01405,cis 3 hexenyl acetate,0.008963375,0.492985625,0.082164271,0.115751225,0.041028375,2.256560625,0.376093438,0.370882539,0.255131313
MCK Cyl 11,MCK,Cyl,8,0.81124,8,0.81124,cis 3 hexenyl acetate,0.005305875,0.291823125,0.048637188,0.059954129,0.008178375,0.449810625,0.074968438,0.092412156,0.032458027
MCK Cyl 12,MCK,Cyl,9,0.912645,7,0.709835,cis 3 hexenyl acetate,0.018881375,1.038475625,0.173079271,0.189645778,0.022663875,1.246513125,0.207752188,0.292676732,0.103030954
MCK Cyl 15,MCK,Cyl,7,0.709835,8,0.81124,cis 3 hexenyl acetate,0.010782875,0.593058125,0.098843021,0.139247883,0.017427875,0.958533125,0.159755521,0.196927569,0.057679686
MCK Cyl 17,MCK,Cyl,6,0.60843,6,0.60843,cis 3 hexenyl acetate,0.016086375,0.884750625,0.147458438,0.24235892,0.046633875,2.564863125,0.427477188,0.702590583,0.460231663
MCK Cyl 18,MCK,Cyl,7,0.709835,7,0.709835,cis 3 hexenyl acetate,0.018574875,1.021618125,0.170269688,0.239872207,0.029398875,1.616938125,0.269489688,0.37965117,0.139778963
MCK Cyl 20,MCK,Cyl,7,0.709835,7,0.709835,cis 3 hexenyl acetate,0.025823875,1.420313125,0.236718855,0.333484337,0.049166375,2.704150625,0.450691772,0.634924696,0.301440359
MCK Cyl 3,MCK,Cyl,6,0.60843,6,0.60843,cis 3 hexenyl acetate,0.010185375,0.560195625,0.093365938,0.153453869,0.030771375,1.692425625,0.282070938,0.463604586,0.310150716
MCK Cyl 5,MCK,Cyl,7,0.709835,10,1.01405,cis 3 hexenyl acetate,0.025191875,1.385553125,0.230925521,0.325322816,0.030148875,1.658188125,0.276364688,0.272535563,-0.052787253
MCK Cyl 6,MCK,Cyl,8,0.81124,8,0.81124,cis 3 hexenyl acetate,0.004474875,0.246118125,0.041019688,0.050564183,0.036887875,2.028833125,0.338138855,0.416817286,0.366253103
MCK Ung 1,MCK,Ung,6,0.51186,7,0.59717,cis 3 hexenyl acetate,0.040756875,2.241628125,0.373604688,0.729896238,0.036321875,1.997703125,0.332950521,0.557547301,-0.172348937
MCK Ung 11,MCK,Ung,6,0.51186,6,0.51186,cis 3 hexenyl acetate,0.043448875,2.389688125,0.398281355,0.778106035,0.031622875,1.739258125,0.289876355,0.566319608,-0.211786426
MCK Ung 12,MCK,Ung,6,0.51186,7,0.59717,cis 3 hexenyl acetate,0.001223875,0.067313125,0.011218854,0.021917818,0.012143875,0.667913125,0.111318854,0.186410661,0.164492843
MCK Ung 13,MCK,Ung,6,0.51186,6,0.51186,cis 3 hexenyl acetate,0.006268875,0.344788125,0.057464688,0.112266416,0.009798375,0.538910625,0.089818438,0.175474617,0.063208202
MCK Ung 14,MCK,Ung,6,0.51186,7,0.59717,cis 3 hexenyl acetate,0.007072875,0.389008125,0.064834688,0.126664884,0.022095875,1.215273125,0.202545521,0.339175647,0.212510763
