Order,Sample,er.1.hexanol,er.2.6.dimethyl.1.3.5.7.octatetraene,er.2.amino.phenyl.ethenone,er.6.Methyl.5.heptene.2.one,alloaromadendrene,alpha.humulene,alpha.pinene,alpha.terpinene,alpha.terpineol,alpha.terpinolene,benzyl.alcohol,bergamotene,beta.cadinene,beta.longipinene,beta.myrcene,beta.phellandrene,beta.pinene,beta.sesquiphellandrene,cis.3.hexen.1.ol,cis.3.hexenyl.acetate,cis.beta.ocimene,cis.DMNT,gamma.cadinene,gamma.terpinene,germacrene.D,intermedeol,limonene,linalool,methyl.salicylate,myroxide,para.cymene,sabine.hydrate,sabinene,terpinene.4.ol,trans.2.hexen.1.ol,trans.beta.caryophyllene,trans.beta.ocimene,trans.trans.alpha.farnesene,unknown.C15H24.1,unknown.C15H24.2,unknown.C15H24.3,veratrole,verbenone,Site,Species,Type
33,2A,0,0,0,55080,0,0,0,0,0,0,69785,0,297231,0,24189,0,0,0,714533,1588911,169080,848540,0,0,44950,772911,0,0,0,0,0,0,0,0,0,28152,6213773,0,0,0,65140,0,0,MHG,Cyl,6.Fl
34,2B,0,0,0,48339,0,0,0,0,0,0,25615,0,187167,0,9196,0,0,0,197807,448552,69950,425516,0,0,37585,161175,0,0,6359,0,0,0,0,0,0,43904,3617258,0,0,0,39947,0,0,MHG,Cyl,3.Fl
35,3A,0,0,0,0,16543,40813,0,0,0,0,0,0,0,0,174227,0,0,0,281653,10639178,721454,0,152838,0,44562,0,107953,0,2393,0,0,0,0,0,0,171696,34368669,0,0,42339,0,0,0,SC,Ung,3.Fl
36,3B,0,0,0,0,37541,30153,0,0,0,0,0,51182,0,0,317896,0,0,0,191215,8038946,1279867,0,108930,0,96514,0,0,0,7969,0,0,0,0,0,0,195792,64338831,0,0,22733,19887,0,0,SC,Ung,6.Fl
37,4A,0,0,0,0,0,0,3157890,27062,0,0,0,17218,0,0,165544,19099,204971,0,170057,17541487,381424,0,0,0,0,0,96854,0,35274,0,0,0,13401,0,0,0,14948601,0,0,0,0,0,0,SC,Ung,6.Fl
38,4B,0,0,0,0,0,0,1409692,23601,0,0,0,10978,0,0,96957,10845,85965,0,158920,16299650,288943,0,0,0,0,0,51301,0,0,0,0,0,0,0,0,0,13129097,0,0,0,0,0,0,SC,Ung,3.Fl
39,5A,0,0,0,0,0,330375,0,0,0,0,96279,157138,394341,0,232522,0,0,0,143515,69338,124226,773060,0,0,75983,349817,40929,0,0,0,0,0,0,0,0,1786510,5539869,0,0,0,81367,0,0,SC,Cyl,Not Petals
40,5B,0,0,0,0,0,0,0,0,0,0,0,12247,0,0,21536,0,0,0,0,0,10983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604323,0,0,0,0,0,0,SC,Cyl,Petals
41,6A,0,0,0,0,0,0,9728,0,0,0,24447,0,191452,0,0,0,0,0,137121,157458,4112,0,0,0,39476,273988,16996,0,0,0,0,0,0,0,0,0,240031,0,0,0,45546,0,0,MHG,Cyl,3.Fl
42,6B,0,0,0,0,0,0,20623,0,0,0,0,0,305529,0,19951,0,0,0,186626,305563,23068,63826,0,0,53421,200222,19344,0,0,0,0,0,0,0,0,0,554027,0,0,0,62932,0,0,MHG,Cyl,6.Fl
43,7A,0,0,0,0,0,0,0,74891,0,0,0,0,0,0,305922,0,0,0,1487242,96953031,1366528,0,0,0,0,0,0,0,14933,0,0,0,0,0,0,0,72799216,0,0,0,0,0,0,SC,Ung,Not Petals
44,7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17029,0,0,0,0,243216,89688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4076188,0,0,0,0,0,0,SC,Ung,Petals
45,8A,0,0,0,0,0,49710,10611,0,0,0,0,17697,0,0,0,0,0,0,0,0,24129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981108,0,0,0,0,0,0,MHG,Cyl,Petals
46,8B,0,0,0,0,16934,104184,10684,0,0,0,0,31400,824034,173713,152033,0,0,0,424053,1755947,483086,547397,0,0,0,245973,53393,0,0,111654,0,0,0,0,0,373438,16230666,0,13588,0,146882,0,0,MHG,Cyl,Not Petals
47,9A,0,0,0,0,58602,61115,17105131,486094,41104,167740,0,0,8509,0,1714722,305176,1521480,0,1336462,76862241,703524,110064,130414,775504,254520,0,1149778,109187,4235,20753,173236,152084,262550,277307,62131,362970,36732060,28280,0,48798,21299,0,0,SC,Ung,Not Petals
48,9B,33504,0,0,0,51024,50738,372334,0,0,0,0,0,0,0,48008,0,55413,0,30279,125851,126151,0,155158,11935,137203,0,19452,0,0,41112,0,0,11942,46209,75620,249992,5642667,0,0,37339,27028,0,0,SC,Ung,Petals
