Order,Run.Num,Run.Date,Run.Plant,Flower number,Avg mass,Total.mass,Site.Type,Site,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha terpinene,er.alpha terpinolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexenyl acetate,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma terpinene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.unknown C15H24.3,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown C15H24.2,er.veratrole,er.verbenone
185,44,15-Nov,16,7,0.08984,0.62888,Two,DVT,Ung,8,0,0.000452928,0,7.97E-05,0,0,0,0,0,0,0,0,0.000500137,0,0,0,0,0.00293826,0,0,0.001198766,0,0,0.003969956,0,0.024767612,0,0,0,0,0,0.001861712,0,0,0,0,0.013011335,0,0,0,0,0,0,0,0,0,0.726638789,0,0,0.000515474,0,0,0,0
186,73,18-Nov,4,6,0.08984,0.53904,Two,DVT,Ung,14,0,0.000530609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003471051,0,0,0,0,0,0.003263712,0,0.013946514,0,0,0,0,0,0.005566463,0,0,0,0.006772102,0.005054748,0,0,0,0,0,0,0,0,0.000313103,0.446674528,0,0,0.000227531,0,0,0,0
187,81,18-Nov,12,6,0.08984,0.53904,Two,DVT,Ung,13,0,0.000789286,0,0,0,0,0.000987653,0.003949733,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01743148,0.351278883,0.01386056,0.002170142,0,0,0,0,0,0,0,0.00190066,0.010285874,0.004240461,0,0,0,0,0,0,0,0,0.057315024,0.437184966,0,0,0.002706566,0,0,0,0
188,103,20-Nov,15,6,0.08984,0.53904,Two,DVT,Ung,7,0,0.000651189,0,0.00130172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191244,0.001451138,0,0,0.017604701,0.611259087,0.036499013,0,0,0,0,0.000888184,0.004404049,0,0,0,0,0.004532294,0,0.000812459,0,0,0,0,0,0.010803328,0.003198924,0.672141661,0,0,0.000670047,0,0,0,0
189,125,30-Nov,15,8,0.08984,0.71872,Two,DVT,Ung,4,0,0,0,0,0.015077935,0,0,0,0.019324565,0.002731482,0.018414883,0.000431725,0.000308663,0,0,0,0,0.007982336,0.076310309,0.002032324,0,0,0,0.008289031,0.125117743,0,0,0,0,0.009152567,0,0,0.002114963,0.030988987,0,0,0.004438364,0,0,0,0,0.001440219,0.003512487,0.029273845,0,0,0.005304161,0,0,0,0,0,0,0
190,175,12-Jan,2,8,0.08984,0.71872,Two,DVT,Ung,24,0,0,0,0,0,0,0,0.001623507,0.047869497,0.002482619,0,0,0,0,0.000234235,0,0.001053572,0.0214143,0,0.005161479,0,0,0,0.018052639,0,0,0,0,0.001952023,0.007047148,0.000536115,0.007221352,0,0,0,0,0,0,0,0.003154852,0,0.002292701,0.00281332,0,0,0.048795259,0,0,0,0.002275279,0,0,0,0
191,220,14-Jan,10,7,0.08984,0.62888,Two,DVT,Ung,33,0,0.00021647,0,0,0.004701335,0.001567925,0,0.000433793,0.021114414,0,0,0,0.000272967,0,0,0,0.001287858,0.004344927,0,0.00153781,0,0,0,0.001815683,0,0.000335758,0,0.162929227,0.004863583,0,7.71E-05,0.001800027,0,0,0,0,0.007379744,0,0,0,0,0.000504793,0.001502047,0,0,0.004554953,0,0,0,1.06E-05,0,0,0,7.42E-05
192,242,15-Jan,14,6,0.08984,0.53904,Two,DVT,Ung,32,0,0,0,0,0,0,0,0,0.022461336,0.006150487,0,0,0,0,0,0,0,0.012011229,0,0.002021469,0,0,0,0.001932846,0,0,0,0.168832727,0.001240935,0,0,0.000741786,0,0.016459076,0,0,0,0,0,0,0,0,0.002669947,0,0,0.008828164,0,0,0,0.000808909,0,0,0,0.001625587
193,255,20-Jan,10,7,0.08984,0.62888,Two,DVT,Ung,31,0,0,0.000921486,0,0.009227976,0,0,0,0.022519678,0,0.000521986,0,0,0,0,0,0.005954745,0.011423896,0,0.001831297,0,0,0,0.013384292,0.097098497,0,0,0.170265001,0.003458494,0.005573567,0,0.001453306,0,0.017160986,0,0.001647361,0,0,0,0.001334864,0,0.00100451,0.006428699,0,0.011705694,0.014373292,0.001989428,0,0.005594455,0.00093804,0.00415074,0,0,0.003786985
194,262,20-Jan,17,7,0.08984,0.62888,Two,DVT,Ung,29,0,0,0.017206387,0,0.003695265,0,0,0.000206064,0.009397941,0.007269551,0.001796001,0.001428928,0,0,0,0,0,0.024173456,0,0.000678375,0,0,0,0.00537226,0,0,0,0,0,0.015888366,0.000701559,0,0.003583429,0.024236568,0,0,0.023979348,0,0,0.004098905,0,0.00054581,0,0,0,0.044602112,0.025401409,0,0,0.001745983,0,0,0,0
